,Pais_x,Poblacion,total_gdp_million,ECI,año_x,Ecuador
89,Austria,8642699.0,381971.1485,1.5395203671,2015,0
90,Austria,8546356.0,442584.8153,1.5235081939,2014,0
91,Austria,8479823.0,430190.9797,1.5549939226,2013,0
92,Austria,8429991.0,409401.8161,1.5574146153,2012,0
93,Austria,8363404.0,392275.1073,1.5200398081,2010,0
94,Austria,8916864.0,435225.238,1.5401381453,2020,0
95,Austria,8321496.0,432051.9356,1.5268639204,2008,0
96,Austria,8011566.0,197289.6255,1.4628911112,2000,0
97,Austria,8042293.0,197508.7732,1.5220861703,2001,0
98,Austria,8081957.0,214394.8667,1.5570392717,2002,0
99,Austria,8121423.0,262273.6312,1.5438524162,2003,0
100,Austria,8343323.0,401758.7358,1.5405914039,2009,0
101,Austria,8227829.0,316092.2733,1.5455680309,2005,0
102,Austria,8268641.0,336280.0643,1.5616390763,2006,0
103,Austria,8295487.0,389185.5715,1.5391913084,2007,0
104,Austria,8171966.0,301457.562,1.5761701567,2004,0
105,Bangladesh,146706810.0,102477.7915,-1.1185405537,2009,1
106,Bangladesh,134139826.0,54724.08149,-1.5839600452,2002,1
107,Bangladesh,136503206.0,60158.92919,-1.5860948497,2003,1
108,Bangladesh,138789725.0,65108.54425,-1.5322340141,2004,1
109,Bangladesh,140912590.0,69442.94309,-1.4170528785,2005,1
110,Bangladesh,142628831.0,71819.08368,-1.3201535537,2006,1
111,Bangladesh,144135934.0,79611.88821,-1.1316597437,2007,1
112,Bangladesh,145421318.0,91631.27824,-1.0538460755,2008,1
113,Bangladesh,148391139.0,115279.0775,-1.2259456121,2010,1
114,Bangladesh,131670484.0,53991.28984,-1.5286349653,2001,1
115,Bangladesh,152090649.0,133355.7495,-1.3213578435,2012,1
116,Bangladesh,154030139.0,149990.451,-1.2913311415,2013,1
117,Bangladesh,155961299.0,172885.4549,-1.1637454706,2014,1
118,Bangladesh,159784568.0,265236.248,-1.4327913795,2016,1
119,Bangladesh,161793964.0,293754.6462,-1.3143736339,2017,1
120,Bangladesh,163683958.0,321379.0236,-1.214724152,2018,1
121,Bangladesh,165516222.0,351238.4742,-1.0871525187,2019,1
122,Bangladesh,167420951.0,373902.1347,-1.1403553759,2020,1
123,Bangladesh,150211005.0,128637.9387,-1.302313694,2011,1
124,Bangladesh,129193327.0,53369.78732,-1.4241070264,2000,1
125,Bangladesh,157830000.0,195078.6787,-1.3450533321,2015,1
126,Belarus,9443211.0,75527.98423,0.9264534903,2013,0
127,Belarus,9448515.0,78813.83998,0.9026560952,2014,0
128,Belarus,9438785.0,60031.26227,0.7730312885,2018,0
129,Belarus,9469379.0,47722.65782,0.7794642479,2016,0
130,Belarus,9458989.0,54726.59525,0.7640719041,2017,0
131,Belarus,9446836.0,65685.10255,0.8764550772,2012,0
132,Belarus,9461076.0,56454.7344,0.8923235704,2015,0
133,Belarus,9461643.0,61757.78894,0.8559328576,2011,0
134,Belarus,9604924.0,36954.31235,0.7892003993,2006,0
135,Belarus,9504583.0,50874.07805,0.8659973045,2009,0
136,Belarus,9527985.0,60763.48315,0.8279911384,2008,0
137,Belarus,9560953.0,45277.39981,0.8275902782,2007,0
138,Belarus,9663915.0,30207.56732,0.7258731451,2005,0
139,Belarus,9730146.0,23144.35185,0.7536504625,2004,0
140,Belarus,9796749.0,17827.79132,0.6324087083,2003,0
141,Belarus,9979610.0,12736.85683,0.5934411066,2000,0
142,Belarus,9483836.0,57222.49077,0.8645568352,2010,0
143,Belarus,9419758.0,64409.64719,0.7815317239,2019,0
144,Belarus,9928549.0,12354.82014,0.5800590813,2001,0
145,Belarus,9865548.0,14594.24902,0.5837457812,2002,0
146,Belarus,9379952.0,61371.12641,0.7800574765,2020,0
147,Belgium,10332785.0,258383.5994,1.3347510001,2002,0
148,Belgium,10376133.0,318082.5285,1.356500714,2003,0
149,Belgium,10421137.0,369214.7124,1.3431015144,2004,0
150,Belgium,10478617.0,385714.7622,1.3408786591,2005,0
151,Belgium,10547958.0,408259.8409,1.2798885821,2006,0
152,Belgium,10625700.0,470922.1563,1.2719585513,2007,0
153,Belgium,10709973.0,517328.0879,1.2736553979,2008,0
154,Belgium,10796493.0,483254.1711,1.2554240897,2009,0
155,Belgium,11488980.0,535830.8767,1.2980832417,2019,0
156,Belgium,11106932.0,496152.8799,1.4189235937,2012,0
157,Belgium,11159407.0,521791.0152,1.416231307,2013,0
158,Belgium,11209057.0,535390.2001,1.3516382363,2014,0
159,Belgium,11274196.0,462335.5748,1.391025555,2015,0
160,Belgium,11331422.0,476062.7574,1.3886598654,2016,0
161,Belgium,11375158.0,502764.7206,1.366778997,2017,0
162,Belgium,11427054.0,543299.067,1.3318928235,2018,0
163,Belgium,11038264.0,523330.3541,1.4027753013,2011,0
164,Belgium,10895586.0,481420.8829,1.3042774916,2010,0
165,Belgium,11538604.0,525211.8107,1.3415543243,2020,0
166,Belgium,10251250.0,236792.4603,1.2134704826,2000,0
167,Belgium,10286570.0,236746.1416,1.2753073567,2001,0
168,Brazil,175873720.0,655448.1882,0.5941702526,2000,1
169,Brazil,211782878.0,1873274.433,0.4499784978,2019,1
170,Brazil,210166592.0,1916947.014,0.5174110995,2018,1
171,Brazil,208504960.0,2063507.865,0.5235803859,2017,1
172,Brazil,206859578.0,1795700.169,0.5456733834,2016,1
173,Brazil,205188205.0,1802214.374,0.6714553872,2015,1
174,Brazil,203459650.0,2455993.625,0.6822098056,2014,1
175,Brazil,201721767.0,2472806.92,0.7328042228,2013,1
176,Brazil,199977707.0,2465188.674,0.7013525891,2012,1
177,Brazil,198185302.0,2616201.578,0.6968452016,2011,1
178,Brazil,213196304.0,1448559.976,0.4390391759,2020,1
179,Brazil,194517549.0,1667019.784,0.6582223932,2009,1
180,Brazil,196353492.0,2208871.646,0.6581968694,2010,1
181,Brazil,180476685.0,509788.815,0.6073510079,2002,1
182,Brazil,182629278.0,558229.2109,0.5763887158,2003,1
183,Brazil,184722043.0,669293.7722,0.6414176672,2004,1
184,Brazil,178211881.0,559991.2614,0.5698784326,2001,1
185,Brazil,188820682.0,1107640.29,0.6737060855,2006,1
186,Brazil,190779453.0,1397084.35,0.7522084737,2007,1
187,Brazil,192672317.0,1695824.566,0.7434378261,2008,1
188,Brazil,186797334.0,891630.1772,0.6646898067,2005,1
189,Bulgaria,8009142.0,14183.49796,0.1252259587,2001,0
190,Bulgaria,7775327.0,21144.9824,0.0698423832,2003,0
191,Bulgaria,7716860.0,26157.89283,0.1564790408,2004,0
192,Bulgaria,7658972.0,29869.28404,0.1317055781,2005,0
193,Bulgaria,7601022.0,34379.80889,0.1834065657,2006,0
194,Bulgaria,7545338.0,44432.81176,0.283731152,2007,0
195,Bulgaria,7492561.0,54481.37686,0.3600333116,2008,0
196,Bulgaria,7444443.0,52023.50537,0.3731423748,2009,0
197,Bulgaria,7395599.0,50682.06105,0.3419147104,2010,0
198,Bulgaria,7837161.0,16402.84641,0.1137184552,2002,0
199,Bulgaria,7348328.0,57678.24102,0.3734214216,2011,0
200,Bulgaria,7265115.0,55810.13844,0.4524985946,2013,0
201,Bulgaria,7223938.0,57082.01126,0.4661177071,2014,0
202,Bulgaria,7177991.0,50781.99671,0.4241697618,2015,0
203,Bulgaria,7127822.0,53953.89762,0.425946857,2016,0
204,Bulgaria,7075947.0,59199.44742,0.4487818266,2017,0
205,Bulgaria,7025037.0,66363.53712,0.4515884501,2018,0
206,Bulgaria,6975761.0,68915.87521,0.4867061698,2019,0
207,Bulgaria,6934015.0,70240.27501,0.5247009749,2020,0
208,Bulgaria,7305888.0,54300.85742,0.4089313109,2012,0
209,Bulgaria,8170172.0,13245.83431,0.1462976089,2000,0
210,Cameroon,21632850.0,33728.62282,-0.911587831,2013,1
211,Cameroon,22299585.0,36386.54692,-0.7780809809,2014,1
212,Cameroon,23012646.0,32210.23291,-0.7635775401,2015,1
213,Cameroon,25782341.0,39670.97733,-1.1335887083,2019,1
214,Cameroon,24393181.0,36098.55014,-0.9083878427,2017,1
215,Cameroon,25076747.0,39973.83906,-1.1166154053,2018,1
216,Cameroon,21032684.0,30155.06457,-1.0585485413,2012,1
217,Cameroon,23711630.0,33814.3379,-0.7321161335,2016,1
218,Cameroon,20448873.0,30630.91218,-1.0246474095,2011,1
219,Cameroon,17275171.0,19509.85084,-1.6412868234,2005,1
220,Cameroon,18777081.0,27715.14458,-1.0767883205,2008,1
221,Cameroon,18251866.0,23928.25133,-1.2657013652,2007,1
222,Cameroon,17751333.0,20910.51397,-1.8575819874,2006,1
223,Cameroon,16809407.0,18826.21528,-1.2184816609,2004,1
224,Cameroon,16354326.0,15970.31575,-1.3025186097,2003,1
225,Cameroon,15914033.0,12417.25182,-1.3719647346,2002,1
226,Cameroon,15493253.0,10953.48524,-1.7204803009,2001,1
227,Cameroon,15091594.0,10566.57895,-1.8756611552,2000,1
228,Cameroon,19878036.0,27507.49971,-1.1342974904,2010,1
229,Cameroon,26491087.0,40773.24153,-1.2340669347,2020,1
230,Cameroon,19319274.0,27932.97168,-1.0481410214,2009,1
231,Canada,33628895.0,1374625.142,0.9360131866,2009,0
232,Canada,37065084.0,1725329.193,0.9205349755,2018,0
233,Canada,36545236.0,1649265.644,0.9127440122,2017,0
234,Canada,36109487.0,1527994.742,0.9305659882,2016,0
235,Canada,35702908.0,1556508.816,0.9820310674,2015,0
236,Canada,35437435.0,1805749.878,0.9702872176,2014,0
237,Canada,35082954.0,1846597.422,0.9468597379,2013,0
238,Canada,34714222.0,1828366.482,0.9569038925,2012,0
239,Canada,34339328.0,1793326.63,0.9437276615,2011,0
240,Canada,34004889.0,1617343.367,0.9389533851,2010,0
241,Canada,33247118.0,1552989.691,0.8910246352,2008,0
242,Canada,32889025.0,1468820.408,0.9025492642,2007,0
243,Canada,32571174.0,1319264.81,0.9211558334,2006,0
244,Canada,32243753.0,1173108.599,1.0053626937,2005,0
245,Canada,31940655.0,1026690.238,1.034314815,2004,0
246,Canada,31644028.0,895540.6466,1.057598969,2003,0
247,Canada,31360079.0,760649.3341,1.0764269076,2002,0
248,Canada,31020902.0,738981.7924,1.0707846867,2001,0
249,Canada,30685730.0,744773.4159,1.0317428746,2000,0
