1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Country,Country ID
0.67819147,0.594607744,0.594170253,0.569878433,0.607351008,0.576388716,0.641417667,0.664689807,0.673706086,0.752208474,0.743437826,0.658222393,0.658196869,0.696845202,0.701352589,0.732804223,0.682209806,0.671455387,0.545673383,0.523580386,0.5174111,0.449978498,0.439039176,0.330266702,Brasil,sabra
0.053655512,0.114750611,0.146297609,0.125225959,0.113718455,0.069842383,0.156479041,0.131705578,0.183406566,0.283731152,0.360033312,0.373142375,0.34191471,0.373421422,0.408931311,0.452498595,0.466117707,0.424169762,0.425946857,0.448781827,0.45158845,0.48670617,0.524700975,0.63261475,Bulgaria,eubgr
,,,,,,,,,,,,,-1.20512575,-1.320593175,-1.450212817,-1.11095467,-1.096285026,-1.277142653,-1.462770196,-1.51414797,-1.443097307,-1.67935059,-1.786028932,Burkina Faso,afbfa
,,,-1.56610722,-1.644111179,-1.663751456,-1.652029515,-1.735385058,-1.661021017,-1.407464138,-1.360670721,-1.317346258,-1.486593105,-1.50284146,-1.488863361,-1.378976551,-1.218796102,-1.140648925,-1.15985868,-0.90662743,-0.955869274,-0.901985449,-0.959380154,-0.642855721,Camboya,askhm
-1.711049418,-1.794000344,-1.875661155,-1.720480301,-1.371964735,-1.30251861,-1.218481661,-1.641286823,-1.857581987,-1.265701365,-1.076788321,-1.048141021,-1.13429749,-1.02464741,-1.058548541,-0.911587831,-0.778080981,-0.76357754,-0.732116134,-0.908387843,-1.116615405,-1.133588708,-1.234066935,-1.361459579,Camerún,afcmr
1.1823041,1.042600272,1.031742875,1.070784687,1.076426908,1.057598969,1.034314815,1.005362694,0.921155833,0.902549264,0.891024635,0.936013187,0.938953385,0.943727662,0.956903893,0.946859738,0.970287218,0.982031067,0.930565988,0.912744012,0.920534976,0.936421371,0.907488634,0.899240097,Canadá,nacan
,,,,,,,,-1.447634851,-1.823546104,-2.16480164,-0.874048888,0.210090512,0.203453049,-0.933360823,-2.370518431,-2.172327095,-2.206006376,-1.222291679,-1.537332453,,,,-1.932142867,Chad,aftcd
0.988313399,1.009230627,1.073331533,1.192129782,1.272686866,1.307761425,1.343921696,1.376383664,1.379739039,1.408252904,1.44507397,1.518768062,1.52082528,1.621017674,1.598187418,1.621219355,1.593729452,1.597964022,1.607431709,1.616591795,1.622619682,1.63077628,1.582684766,1.564132814,Chequia,eucze
0.285005923,0.146704271,0.066634716,0.0387318,-0.066416359,-0.167817576,-0.242418665,-0.232701034,-0.234087886,-0.212082601,-0.258008259,-0.244650078,-0.240789489,-0.192223882,-0.075646893,-0.029707715,6.09E-05,-0.090544514,-0.145007577,-0.198061661,-0.153423439,-0.20515656,-0.222083778,-0.222360315,Chile,sachl
-0.46127641,-0.283640631,-0.085390622,-0.031165834,-0.022667276,-0.010243356,0.201750679,0.232194457,0.398342471,0.536497047,0.679447362,0.676504919,0.698413834,0.774726414,0.817557821,0.859233799,0.861700564,0.852827471,0.818481697,0.886246963,0.925391928,0.974627424,0.974141289,1.070764973,China,aschn
0.490305191,0.690916619,0.864445768,1.032073566,1.119936489,1.220157129,1.403377889,1.406123009,1.523307297,1.564723572,1.615724695,1.591087105,1.616449631,1.729293508,1.810705013,1.847519577,1.754434264,1.808709801,1.856409145,1.92394326,1.943447303,1.988194734,1.979542095,1.928828885,China Taipéi,asxxb
-0.047504251,-0.029463062,-0.019357215,0.059110254,0.068882079,-0.030929747,-0.052819746,-0.122898153,-0.019424394,0.019700957,-0.023112563,-0.043151393,-0.043683775,0.010676004,0.006197626,0.078614628,0.180293984,0.084812498,0.11170018,0.168285322,0.18143721,0.169936445,0.147644839,0.138695142,Colombia,sacol
,,-1.660049429,-1.489938268,-1.789018752,-1.90240307,-1.985760029,-1.939234907,-1.964225726,-1.691378993,-1.333969488,-1.163354683,-1.296278794,-1.485994959,-1.194762004,-1.370266675,-1.321440573,-1.38178808,-1.132757469,-0.948478649,-0.955766734,-1.039882608,-1.053645056,-1.017637629,"Congo, República del",afcog
,,,,,,,,,-1.728785643,-1.349715839,-1.642614884,-1.660775555,-1.104427128,-1.144442516,-1.089619248,-1.57161858,-1.334139993,-1.547092868,-1.383995643,-1.488338404,-1.438382339,-1.474660716,-1.809867088,"Congo, República Democrática del",afcod
,,,,,,,,,0.834319608,0.883938891,0.811727212,0.659233027,0.549020183,0.330313598,0.087517397,0.053991896,-0.137453503,-0.248836909,-0.283154534,-0.142357324,,,,Corea del Norte,asprk
0.445670438,0.543855802,0.599548226,0.74319919,0.857513958,0.918976886,1.146321501,1.227504538,1.381778975,1.437565035,1.475054019,1.462150599,1.493738583,1.59196226,1.640471714,1.706250557,1.675063559,1.735086979,1.808829935,1.775433879,1.839587845,1.8586468,1.872630643,1.824753927,Corea del Sur,askor
-0.281358465,-0.150395662,-0.072036725,0.041592402,0.000130489,0.036797421,-0.004214944,-0.021569345,0.053007336,0.192749439,0.126246514,0.084915468,-0.052298169,-0.04066935,-0.010992142,0.119205667,0.252253966,0.296466047,0.212121362,0.211171528,0.189498373,0.230065061,0.186669715,0.243577587,Costa Rica,nacri
-1.307940317,-1.451816645,-1.042762279,-0.779046611,-0.737304922,-0.75661629,-0.713707638,-0.654215218,-0.825797369,-0.812865568,-0.963189304,-1.120688187,-1.22244902,-1.167581585,-1.229738115,-1.125326506,-0.947248382,-0.882771448,-0.901246197,-0.945550264,-1.012658876,-1.099630577,-1.045736778,-1.187799412,Côte d'Ivoire,afciv
0.315091864,0.381103435,0.368123897,0.362622953,0.327621578,0.357501696,0.407682448,0.429533723,0.487968906,0.568113674,0.621819726,0.626967437,0.645149768,0.635461335,0.702349374,0.738949435,0.751299547,0.677645017,0.708207847,0.700981529,0.707099198,0.750305129,0.742821207,0.805860515,Croacia,euhrv
,-0.046256641,-0.158499178,-0.228071401,-0.430508262,-0.303409761,0.088978357,0.208034965,0.360170184,0.3634192,0.227578454,-0.220485141,-0.141119667,-0.188424427,-0.138327805,-0.001397443,-0.074440042,-0.210248619,,,,,,,Cuba,nacub
1.137880417,1.184658082,1.190813409,1.157807234,1.15689908,1.156930273,1.154427059,1.098806246,1.032848194,1.020284538,1.046273222,1.042884858,1.036896232,1.037129189,1.052475919,1.048920874,1.025555514,1.031094672,1.018571757,1.003988217,0.972375174,0.983425764,0.975902426,1.016850313,Dinamarca,eudnk
-0.660511897,-0.704662077,-0.757065042,-0.765643191,-0.896933277,-0.947049257,-1.002775393,-0.988708322,-0.899152045,-0.677580427,-0.806801576,-0.939641955,-0.808797782,-0.683162803,-0.582949129,-0.632051443,-0.616935379,-0.770796639,-0.999633618,-0.944363585,-0.830426818,-0.912674462,-0.981909749,-0.886045022,Ecuador,saecu
-0.747888074,-0.608609021,-0.517984095,-0.556512441,-0.539041979,-0.515640849,-0.38807483,-0.365702766,-0.390258674,-0.318617328,-0.277117081,-0.290437878,-0.301347967,-0.337858774,-0.385675635,-0.251850949,-0.157578297,-0.187634959,-0.168960951,-0.088690354,-0.113450319,-0.122160653,-0.15887115,-0.09890939,Egipto,afegy
-0.364793238,-0.210780542,-0.281664466,-0.368521977,-0.422808253,-0.516577232,-0.443323266,-0.443394497,-0.405903244,-0.295833396,-0.28692996,-0.335189887,-0.369693064,-0.349318049,-0.345686524,-0.254225721,-0.192409936,-0.229533559,-0.258253923,-0.085715213,-0.107871313,-0.059048156,-0.149168985,-0.037354974,El Salvador,naslv
-0.904977802,-0.785592103,-0.657988874,-0.545352317,-0.52574692,-0.379547777,-0.261483354,-0.175711501,-0.09872271,-0.173974066,-0.215601826,-0.223018004,-0.1317687,0.006759599,0.040222838,0.068525994,0.112463908,0.098909624,0.179931327,0.143469551,0.102925743,0.202042681,0.153011625,0.161373834,Emiratos Árabes Unidos,asare
0.733697444,0.716576011,0.728316147,0.819021505,0.845278996,0.868068889,0.938150906,0.963022593,1.001106523,1.075899904,1.105565825,1.207723358,1.202131161,1.268414823,1.258327586,1.272491633,1.25766144,1.25497099,1.259855724,1.295100875,1.318458883,1.337937707,1.332318367,1.306531879,Eslovaquia,eusvk
